region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_w,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
15,cwy_two_color_015_ccwcc,cwy,two_color,ccycc,ccwcc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#5fd1e1,0.37411764705882355,0.8196078431372549,0.8823529411764707,78.16191971863205,-27.6298182850393,-17.651519830013275,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color
16,cwy_two_color_016_c,cwy,two_color,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color
17,cwy_two_color_017_ccycc,cwy,two_color,ccmcc,ccycc,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#61cdb0,0.3819607843137255,0.8023529411764706,0.6901960784313725,75.5547352424016,-37.82289322407589,4.864422141720537,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color
18,cwy_two_color_018_ccyc,cwy,two_color,ccmc,ccyc,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#6bcea5,0.42058823529411765,0.8068627450980392,0.6470588235294118,75.99398463781759,-38.508338624210936,11.446263813771207,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color
19,cwy_two_color_019_ccy,cwy,two_color,ccm,ccy,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#7cd093,0.4849673202614379,0.8143790849673204,0.5751633986928105,76.86250739489427,-38.58330122000342,22.49598611228505,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color
20,cwy_two_color_020_ccycy,cwy,two_color,ccmcm,ccycy,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#89d184,0.5364705882352941,0.820392156862745,0.5176470588235295,77.67664033697756,-37.72301156590308,31.332784159337134,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color
21,cwy_two_color_021_cy,cwy,two_color,cm,cy,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,#9dd36e,0.6137254901960785,0.8294117647058823,0.43137254901960786,79.08731311025821,-35.04058229831547,44.36686585857201,"[[0.55, 0.2598076211353316], [0.5, 0.2886751345948129], [0.4500000000000002, 0.25980762113533173], [0.44999999999999996, 0.25980762113533157], [0.44999999999999996, 0.0], [0.55, 0.0]]",6,2,2,two_color
22,cwy_two_color_022_cycyy,cwy,two_color,cmcmm,cycyy,0.4,0.0,0.6,0.4,0.0,0.6,0.6,0.0,#b0d658,0.6909803921568628,0.8384313725490194,0.34509803921568627,80.71081715514305,-30.926605445549537,56.74685739894987,"[[0.6333333333333334, 0.2116950987028627], [0.6333333333333331, 0.211695098702863], [0.5500000000000002, 0.25980762113533157], [0.55, 0.2598076211353316], [0.55, 0.0], [0.6333333333333334, 0.0]]",6,2,2,two_color
23,cwy_two_color_023_cyy,cwy,two_color,cmm,cyy,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,#bdd749,0.742483660130719,0.8444444444444444,0.28758169934640526,81.90233054832865,-27.535536020099894,64.35586331832887,"[[0.7083333333333331, 0.168393828513641], [0.7083333333333331, 0.168393828513641], [0.6333333333333333, 0.2116950987028628], [0.6333333333333334, 0.0], [0.7083333333333333, 0.0]]",6,2,2,two_color
24,cwy_two_color_024_ycyy,cwy,two_color,mcmm,ycyy,0.25,0.0,0.75,0.25,0.0,0.75,0.75,0.0,#ced937,0.8068627450980392,0.8519607843137255,0.21568627450980393,83.5042416800598,-22.722707681334942,72.79352079044212,"[[0.7750000000000006, 0.12990381056766542], [0.7750000000000004, 0.12990381056766562], [0.7083333333333331, 0.16839382851364093], [0.7083333333333331, 0.0], [0.7750000000000006, 0.0]]",6,2,2,two_color
25,cwy_two_color_025_yycyy,cwy,two_color,mmcmm,yycyy,0.2,0.0,0.8,0.2,0.0,0.8,0.8,0.0,#d8da2c,0.8454901960784313,0.8564705882352941,0.17254901960784313,84.52082667829146,-19.591593417616572,77.13877361131732,"[[0.7750000000000006, 0.12990381056766537], [0.7750000000000006, 0.0], [0.8999999999999999, 0.0], [0.8999999999999999, 0.05773502691896263]]",6,2,2,two_color
26,cwy_two_color_026_y,cwy,two_color,m,y,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,#ffdf00,1.0,0.8745098039215686,0.0,88.94096720886532,-5.949434572648293,88.5567575521992,"[[0.8999999999999999, 0.05773502691896262], [0.8999999999999999, 0.0], [1.0, 0.0], [0.95, 0.08660254037844395]]",6,2,2,two_color
27,cwy_two_color_027_yywyy,cwy,two_color,mmymm,yywyy,0.0,0.2,0.8,0.0,0.2,0.8,0.9,0.17320508075688773,#fde331,0.9921568627450981,0.891764705882353,0.19215686274509805,89.98225411565325,-8.220184501397831,81.75862448367222,"[[0.7750000000000004, 0.12990381056766553], [0.7750000000000004, 0.1299038105676656], [0.8999999999999999, 0.05773502691896262], [0.95, 0.08660254037844393], [0.8875000000000002, 0.19485571585149836]]",6,2,2,two_color
28,cwy_two_color_028_yywy,cwy,two_color,mmym,yywy,0.0,0.25,0.75,0.0,0.25,0.75,0.875,0.21650635094610965,#fde53d,0.9901960784313726,0.8960784313725491,0.24019607843137256,90.27287161929827,-8.570060983918548,78.45597358508658,"[[0.7083333333333333, 0.16839382851364088], [0.708333333333333, 0.1683938285136411], [0.7750000000000006, 0.12990381056766553], [0.7750000000000005, 0.12990381056766556], [0.8875000000000002, 0.19485571585149838], [0.8541666666666666, 0.2525907427704614]]",6,2,2,two_color
29,cwy_two_color_029_yyw,cwy,two_color,mmy,yyw,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.8333333333333333,0.28867513459481287,#fce652,0.9869281045751634,0.9032679738562092,0.32026143790849676,90.78894224505643,-8.920091259041696,71.78977329896013,"[[0.6333333333333329, 0.21169509870286304], [0.6333333333333332, 0.2116950987028628], [0.708333333333333, 0.16839382851364093], [0.7083333333333333, 0.16839382851364088], [0.8541666666666666, 0.25259074277046145], [0.8166666666666667, 0.3175426480542943]]",6,2,2,two_color
30,cwy_two_color_030_yywyw,cwy,two_color,mmymy,yywyw,0.0,0.4,0.6,0.0,0.4,0.6,0.8,0.34641016151377546,#fbe862,0.9843137254901961,0.9090196078431372,0.3843137254901961,91.2318656217574,-8.977733645519292,65.64806211629117,"[[0.5500000000000003, 0.2598076211353315], [0.5500000000000003, 0.2598076211353315], [0.6333333333333333, 0.21169509870286285], [0.6333333333333329, 0.21169509870286302], [0.8166666666666665, 0.3175426480542942], [0.775, 0.38971143170299727]]",6,2,2,two_color
