region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_v,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
14,yvm_two_color_014_yyvy,yvm,two_color,ccyc,yyvy,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#dcbd40,0.861764705882353,0.7411764705882353,0.25,77.24603834345442,-2.213430655522264,64.13854172454272,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color
15,yvm_two_color_015_yyvyy,yvm,two_color,ccycc,yyvyy,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#e3c433,0.8894117647058823,0.7678431372549019,0.2,79.5739437608988,-3.2521168134359013,71.0938854861102,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color
16,yvm_two_color_016_y,yvm,two_color,c,y,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#ffdf00,1.0,0.8745098039215686,0.0,88.94096720886532,-5.949434572648293,88.5567575521992,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color
17,yvm_two_color_017_yymyy,yvm,two_color,ccmcc,yymyy,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#f3b71e,0.9529411764705882,0.7192156862745098,0.11764705882352941,77.98402366630827,9.564777772315624,76.10333175007294,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color
18,yvm_two_color_018_yymy,yvm,two_color,ccmc,yymy,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#f0ae26,0.9411764705882353,0.6803921568627451,0.14705882352941177,75.29275943833024,13.646301897515034,71.93335971602419,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color
19,yvm_two_color_019_yym,yvm,two_color,ccm,yym,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#eb9d32,0.9215686274509803,0.615686274509804,0.19607843137254902,70.87834005274337,20.623964460334378,63.79337035503971,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color
20,yvm_two_color_020_yymym,yvm,two_color,ccmcm,yymym,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#e7903c,0.9058823529411765,0.563921568627451,0.23529411764705882,67.4309478758879,26.342851808801193,56.233812465552,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color
21,yvm_two_color_021_ym,yvm,two_color,cm,ym,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,#e17c4b,0.8823529411764706,0.48627450980392156,0.29411764705882354,62.45289702748056,35.06929839281481,43.41945673452145,"[[0.55, 0.2598076211353316], [0.5, 0.2886751345948129], [0.4500000000000002, 0.25980762113533173], [0.44999999999999996, 0.25980762113533157], [0.44999999999999996, 0.0], [0.55, 0.0]]",6,2,2,two_color
22,yvm_two_color_022_ymymm,yvm,two_color,cmcmm,ymymm,0.4,0.0,0.6,0.4,0.0,0.6,0.6,0.0,#db685a,0.8588235294117647,0.4086274509803922,0.3529411764705882,57.792720015896336,43.79980661784777,29.401577379574974,"[[0.6333333333333334, 0.2116950987028627], [0.6333333333333331, 0.211695098702863], [0.5500000000000002, 0.25980762113533157], [0.55, 0.2598076211353316], [0.55, 0.0], [0.6333333333333334, 0.0]]",6,2,2,two_color
23,yvm_two_color_023_ymm,yvm,two_color,cmm,ymm,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,#d75b64,0.8431372549019608,0.3568627450980392,0.39215686274509803,54.92109472478978,49.47976671792647,19.744343642877826,"[[0.7083333333333331, 0.168393828513641], [0.7083333333333331, 0.168393828513641], [0.6333333333333333, 0.2116950987028628], [0.6333333333333334, 0.0], [0.7083333333333333, 0.0]]",6,2,2,two_color
24,yvm_two_color_024_mymm,yvm,two_color,mcmm,mymm,0.25,0.0,0.75,0.25,0.0,0.75,0.75,0.0,#d24b71,0.8235294117647058,0.29215686274509806,0.4411764705882353,51.668565525830644,56.21727015606698,7.685778968975887,"[[0.7750000000000006, 0.12990381056766542], [0.7750000000000004, 0.12990381056766562], [0.7083333333333331, 0.16839382851364093], [0.7083333333333331, 0.0], [0.7750000000000006, 0.0]]",6,2,2,two_color
25,yvm_two_color_025_mmymm,yvm,two_color,mmcmm,mmymm,0.2,0.0,0.8,0.2,0.0,0.8,0.8,0.0,#cf4178,0.8117647058823529,0.25333333333333335,0.47058823529411764,49.9300161110031,59.96278169082675,0.597488729997786,"[[0.7750000000000006, 0.12990381056766537], [0.7750000000000006, 0.0], [0.8999999999999999, 0.0], [0.8999999999999999, 0.05773502691896263]]",6,2,2,two_color
26,yvm_two_color_026_m,yvm,two_color,m,m,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,#c31996,0.7647058823529411,0.09803921568627451,0.5882352941176471,44.94517938493525,71.41561872915153,-25.286338363609783,"[[0.8999999999999999, 0.05773502691896262], [0.8999999999999999, 0.0], [1.0, 0.0], [0.95, 0.08660254037844395]]",6,2,2,two_color
27,yvm_two_color_027_mmvmm,yvm,two_color,mmymm,mmvmm,0.0,0.2,0.8,0.0,0.2,0.8,0.9,0.17320508075688773,#b325ab,0.7011764705882353,0.14666666666666667,0.6705882352941177,44.01776554377584,68.22803130910299,-39.514756479993764,"[[0.7750000000000004, 0.12990381056766553], [0.7750000000000004, 0.1299038105676656], [0.8999999999999999, 0.05773502691896262], [0.95, 0.08660254037844393], [0.8875000000000002, 0.19485571585149836]]",6,2,2,two_color
28,yvm_two_color_028_mmvm,yvm,two_color,mmym,mmvm,0.0,0.25,0.75,0.0,0.25,0.75,0.875,0.21650635094610965,#af29b0,0.6852941176470588,0.1588235294117647,0.6911764705882354,43.920086818262064,67.37604791481428,-42.8222223074697,"[[0.7083333333333333, 0.16839382851364088], [0.708333333333333, 0.1683938285136411], [0.7750000000000006, 0.12990381056766553], [0.7750000000000005, 0.12990381056766556], [0.8875000000000002, 0.19485571585149838], [0.8541666666666666, 0.2525907427704614]]",6,2,2,two_color
29,yvm_two_color_029_mmv,yvm,two_color,mmy,mmv,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.8333333333333333,0.28867513459481287,#a82eb9,0.6588235294117647,0.17908496732026144,0.7254901960784315,43.88265939050312,65.9120756649047,-48.09967666173325,"[[0.6333333333333329, 0.21169509870286304], [0.6333333333333332, 0.2116950987028628], [0.708333333333333, 0.16839382851364093], [0.7083333333333333, 0.16839382851364088], [0.8541666666666666, 0.25259074277046145], [0.8166666666666667, 0.3175426480542943]]",6,2,2,two_color
30,yvm_two_color_030_mmvmv,yvm,two_color,mmymy,mmvmv,0.0,0.4,0.6,0.0,0.4,0.6,0.8,0.34641016151377546,#a332c0,0.6376470588235295,0.1952941176470588,0.7529411764705883,43.967119452573655,64.70709587811146,-52.10656105438327,"[[0.5500000000000003, 0.2598076211353315], [0.5500000000000003, 0.2598076211353315], [0.6333333333333333, 0.21169509870286285], [0.6333333333333329, 0.21169509870286302], [0.8166666666666665, 0.3175426480542942], [0.775, 0.38971143170299727]]",6,2,2,two_color
